,count,mean,std,min,25%,50%,75%,max
Vtr_std,9109.0,0.05529977548511476,0.013852584059187262,0.0007766729742589618,0.04548603228135354,0.05390397944224294,0.06353996543382985,0.21237256812636227
Vtr_mad,9109.0,0.04108559034602262,0.01171852015024768,0.0005255100458788878,0.032822045465149066,0.040036666171185974,0.04837224296649498,0.09702714428772133
Vtr_min,9109.0,0.017373511796256454,0.013874373142401569,0.000160708662876602,0.008339840543148057,0.013229584604608522,0.02164616207546115,0.13706303945405818
Vtr_p25,9109.0,0.0901752954098005,0.02112665818177854,0.0010471933066567363,0.07662149499299108,0.08834001922667713,0.10099911111348935,0.2597835853479265
Vtr_median,9109.0,0.1356137768072954,0.029560159070325356,0.0015290247098660318,0.11564112900262048,0.1328906089157505,0.15477742563583044,0.31069291265698185
Vtr_p75,9109.0,0.1770948598917881,0.04044930054398268,0.002107983295112171,0.1480737493752844,0.173153069719843,0.20100071762029564,0.3842844048521299
Vtr_max,9109.0,0.24652820047371998,0.05872568038630501,0.003493188793233151,0.20592142852783615,0.23993217038815648,0.2796316200100678,0.7967136539889416
Vtr_iqr,9109.0,0.08691956448198762,0.02382433116606864,0.0010483662141480953,0.06961999558117829,0.08476915794317788,0.1014044231890417,0.1970067661239732
Vtr_rms,9109.0,0.14457240755770112,0.0321075725574454,0.0018005594193174705,0.12192885965989686,0.1412915668834965,0.1633565048586713,0.33283505712777267
Vtr_skew,9109.0,-0.08448705007995047,0.3347347959825229,-1.2904061701079914,-0.3355956850220193,-0.11296397320104146,0.12559757036277505,2.7018328031373233
Vtr_kurt,9109.0,-0.829090544303138,0.41033439436998903,-1.5591630552105864,-0.9976953516244031,-0.8847934644632831,-0.7498999557941937,8.199111228301755
Vtr_nan_frac,9109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jerk_mean,9109.0,96004.54019268659,46374.7061960229,312.6564570622114,61761.9430949573,90944.41738142309,125310.40689281817,365324.9787687932
